URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/CodeSystem/HIVSTATUSCS,0.1.0,draft,,HIVSTATUSCS,HIV - STATUS,"","ValueSet/HIVSTATUSVS"
http://example.org/CodeSystem/HIVSTISyndromeAssignedCS,0.1.0,draft,,HIVSTISyndromeAssignedCS,HIV - STI syndrome assigned,"","ValueSet/HIVSTISyndromeAssignedVS"
http://example.org/CodeSystem/HIVSexAtBirthCS,0.1.0,draft,,HIVSexAtBirthCS,HIV - Sex at birth,"","ValueSet/HIVSexAtBirthVS"
http://example.org/CodeSystem/HIVTBDiagnosticTestCategoryCS,0.1.0,draft,,HIVTBDiagnosticTestCategoryCS,HIV - TB diagnostic test category,"","ValueSet/HIVTBDiagnosticTestCategoryVS"
http://example.org/CodeSystem/HIVTBTestResultCS,0.1.0,draft,,HIVTBTestResultCS,HIV - TB test result,"","ValueSet/HIVTBTestResultVS"
http://example.org/CodeSystem/HIVTPTPreventiveTreatmentCS,0.1.0,draft,,HIVTPTPreventiveTreatmentCS,HIV - TPT preventive treatment,"","ValueSet/HIVTPTPreventiveTreatmentVS"
http://example.org/CodeSystem/HIVTPTRegimenCS,0.1.0,draft,,HIVTPTRegimenCS,HIV - TPT Regimen,"","ValueSet/HIVTPTRegimenVS"
http://example.org/CodeSystem/HIVTestProvisionCS,0.1.0,draft,,HIVTestProvisionCS,HIV - Test provision,"","ValueSet/HIVTestProvisionVS"
http://example.org/CodeSystem/HIVTestResultCS,0.1.0,draft,,HIVTestResultCS,HIV - Test result,"","ValueSet/HIVTestResultVS"
http://example.org/CodeSystem/HIVTestTBStatusCS,0.1.0,draft,,HIVTestTBStatusCS,HIV - Test: TB status,"","ValueSet/HIVTestTBStatusVS"
http://example.org/CodeSystem/HIVTreatmentTreatmentStatusCS,0.1.0,draft,,HIVTreatmentTreatmentStatusCS,HIV - Treatment: Treatment Status,"","ValueSet/HIVTreatmentTreatmentStatusVS"
http://example.org/CodeSystem/HIVTypeOfCommunityLevelTestingCS,0.1.0,draft,,HIVTypeOfCommunityLevelTestingCS,HIV - Type of community level testing,"","ValueSet/HIVTypeOfCommunityLevelTestingVS"
http://example.org/CodeSystem/HIVTypeOfCondomsCS,0.1.0,draft,,HIVTypeOfCondomsCS,HIV - Type of condoms,"","ValueSet/HIVTypeOfCondomsVS"
http://example.org/CodeSystem/HIVVMMCSeverityOfAdverseEventsCS,0.1.0,draft,,HIVVMMCSeverityOfAdverseEventsCS,HIV - VMMC: Severity of adverse events,"","ValueSet/HIVVMMCSeverityOfAdverseEventsVS"
http://example.org/CodeSystem/HIVVMMCTimingOfAdverseEventsCS,0.1.0,draft,,HIVVMMCTimingOfAdverseEventsCS,HIV - VMMC: Timing of adverse events,"","ValueSet/HIVVMMCTimingOfAdverseEventsVS"
http://example.org/CodeSystem/HIVVMMCTypeOfAdverseEventsCS,0.1.0,draft,,HIVVMMCTypeOfAdverseEventsCS,HIV - VMMC: Type of adverse events,"","ValueSet/HIVVMMCTypeOfAdverseEventsVS"
http://example.org/CodeSystem/HIVViralHepatitisTestResultCS,0.1.0,draft,,HIVViralHepatitisTestResultCS,HIV - Viral hepatitis test result,"","ValueSet/HIVViralHepatitisTestResultVS"
