"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVPrevention","HIVPrevention.addressCurrent","HIVPrevention.addressCurrent","","","",0,1,"","","","string {[]} {[]}
","HIV.A.DE29","HIV.A.DE29","","","","","","","","","",,,,,"",,,,"HIVPrevention.addressCurrent",0,1,"",""
"HIVPrevention","HIVPrevention.phoneNumber","HIVPrevention.phoneNumber","","","",0,1,"","","","string {[]} {[]}
","HIV.A.DE42","HIV.A.DE42","","","","","","","","","",,,,,"",,,,"HIVPrevention.phoneNumber",0,1,"",""
"HIVPrevention","HIVPrevention.nationalId","HIVPrevention.nationalId","","","",0,1,"","","","string {[]} {[]}
","Unique identifier for a person that is managed and maintained at the national level; this type of identifier is not programme-specific. This may include, for example, a national health identification number, a national insurance number, or other similar unique identifier. This TEA is intended to be adapted to local context.","Unique identifier for a person that is managed and maintained at the national level; this type of identifier is not programme-specific. This may include, for example, a national health identification number, a national insurance number, or other similar unique identifier. This TEA is intended to be adapted to local context.","","","","","","","","","",,,,,"",,,,"HIVPrevention.nationalId",0,1,"",""
"HIVPrevention","HIVPrevention.initialCaseReport","HIVPrevention.initialCaseReport","","","",0,1,"","","","http://example.org/StructureDefinition/InitialCaseReport {[]} {[]}
","Initial case report","Initial case report","","","","","","","","","",,,,,"",,,,"HIVPrevention.initialCaseReport",0,1,"",""
"HIVPrevention","HIVPrevention.visit","HIVPrevention.visit","","","",0,*,"","","","http://example.org/StructureDefinition/Visit {[]} {[]}
","Visit","Visit","","","","","","","","","",,,,,"",,,,"HIVPrevention.visit",0,*,"",""
"InitialCaseReport","InitialCaseReport","InitialCaseReport","","","",0,*,"","","","null {[]} {[]}
","Initial case report","Initial case report","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"InitialCaseReport","InitialCaseReport.keyPopulationMember","InitialCaseReport.keyPopulationMember","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Any","HIV - Key population - Any","","","","","","","","","",,,,,"",,,,"InitialCaseReport.keyPopulationMember",0,1,"",""
"InitialCaseReport","InitialCaseReport.personWhoInjectDrugss","InitialCaseReport.personWhoInjectDrugss","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Person who inject drugs","HIV - Key population - Person who inject drugs","","","","","","","","","",,,,,"",,,,"InitialCaseReport.personWhoInjectDrugss",0,1,"",""
"InitialCaseReport","InitialCaseReport.msm","InitialCaseReport.msm","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Men who have sex with men","HIV - Key population - Men who have sex with men","","","","","","","","","",,,,,"",,,,"InitialCaseReport.msm",0,1,"",""
"InitialCaseReport","InitialCaseReport.peopleLivingInPrisonsAndOtherClosedSetting","InitialCaseReport.peopleLivingInPrisonsAndOtherClosedSetting","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - People living in prisons and other closed settings","HIV - Key population - People living in prisons and other closed settings","","","","","","","","","",,,,,"",,,,"InitialCaseReport.peopleLivingInPrisonsAndOtherClosedSetting",0,1,"",""
"InitialCaseReport","InitialCaseReport.sexWorker","InitialCaseReport.sexWorker","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Sex worker","HIV - Key population - Sex worker","","","","","","","","","",,,,,"",,,,"InitialCaseReport.sexWorker",0,1,"",""
"InitialCaseReport","InitialCaseReport.transAndGenderDiversePeople","InitialCaseReport.transAndGenderDiversePeople","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Trans and gender-diverse people","HIV - Key population - Trans and gender-diverse people","","","","","","","","","",,,,,"",,,,"InitialCaseReport.transAndGenderDiversePeople",0,1,"",""
"Visit","Visit","Visit","","","",0,*,"","","","null {[]} {[]}
","Visit","Visit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Visit","Visit.personWhoInjectDrugssVisit","Visit.personWhoInjectDrugssVisit","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Person who inject drugs - VISIT","HIV - Key population - Person who inject drugs - VISIT","","","","","","","","","",,,,,"",,,,"Visit.personWhoInjectDrugssVisit",0,1,"",""
"Visit","Visit.msmVisit","Visit.msmVisit","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Men who have sex with men - VISIT","HIV - Key population - Men who have sex with men - VISIT","","","","","","","","","",,,,,"",,,,"Visit.msmVisit",0,1,"",""
"Visit","Visit.prisonerVisit","Visit.prisonerVisit","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Prisoner - VISIT","HIV - Key population - Prisoner - VISIT","","","","","","","","","",,,,,"",,,,"Visit.prisonerVisit",0,1,"",""
"Visit","Visit.sexWorkerVisit","Visit.sexWorkerVisit","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Sex worker - VISIT","HIV - Key population - Sex worker - VISIT","","","","","","","","","",,,,,"",,,,"Visit.sexWorkerVisit",0,1,"",""
"Visit","Visit.transAndGenderDiversePeopleVisit","Visit.transAndGenderDiversePeopleVisit","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Key population - Trans and gender-diverse people - VISIT","HIV - Key population - Trans and gender-diverse people - VISIT","","","","","","","","","",,,,,"",,,,"Visit.transAndGenderDiversePeopleVisit",0,1,"",""
"Visit","Visit.visitDetailsOpioidDependant","Visit.visitDetailsOpioidDependant","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Visit details: Opioid dependant","HIV - Visit details: Opioid dependant","","","","","","","","","",,,,,"",,,,"Visit.visitDetailsOpioidDependant",0,1,"",""
"Visit","Visit.substantialRisk","Visit.substantialRisk","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Substantial risk","HIV - Substantial risk","","","","","","","","","",,,,,"",,,,"Visit.substantialRisk",0,1,"",""
"Visit","Visit.substantialRiskDate","Visit.substantialRiskDate","","","",0,1,"","","","date {[]} {[]}
","HIV - Substantial risk date","HIV - Substantial risk date","","","","","","","","","",,,,,"",,,,"Visit.substantialRiskDate",0,1,"",""
"Visit","Visit.riskAssessment","Visit.riskAssessment","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Risk assessment","HIV - Risk assessment","","","","","","","","","",,,,,"",,,,"Visit.riskAssessment",0,1,"",""
"Visit","Visit.condoms","Visit.condoms","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Condoms","HIV - Condoms","","","","","","","","","",,,,,"",,,,"Visit.condoms",0,1,"",""
"Visit","Visit.hivTest","Visit.hivTest","","","",0,1,"","","","boolean {[]} {[]}
","HIV - HIV test","HIV - HIV test","","","","","","","","","",,,,,"",,,,"Visit.hivTest",0,1,"",""
"Visit","Visit.prep","Visit.prep","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP","HIV - PrEP","","","","","","","","","",,,,,"",,,,"Visit.prep",0,1,"",""
"Visit","Visit.pep","Visit.pep","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PEP","HIV - PEP","","","","","","","","","",,,,,"",,,,"Visit.pep",0,1,"",""
"Visit","Visit.nsp","Visit.nsp","","","",0,1,"","","","boolean {[]} {[]}
","HIV - NSP","HIV - NSP","","","","","","","","","",,,,,"",,,,"Visit.nsp",0,1,"",""
"Visit","Visit.oamt","Visit.oamt","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT","HIV - OAMT","","","","","","","","","",,,,,"",,,,"Visit.oamt",0,1,"",""
"Visit","Visit.vmmc","Visit.vmmc","","","",0,1,"","","","boolean {[]} {[]}
","HIV - VMMC","HIV - VMMC","","","","","","","","","",,,,,"",,,,"Visit.vmmc",0,1,"",""
"Visit","Visit.sti","Visit.sti","","","",0,1,"","","","boolean {[]} {[]}
","HIV - STI","HIV - STI","","","","","","","","","",,,,,"",,,,"Visit.sti",0,1,"",""
"Visit","Visit.viralHepatitis","Visit.viralHepatitis","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Viral hepatitis","HIV - Viral hepatitis","","","","","","","","","",,,,,"",,,,"Visit.viralHepatitis",0,1,"",""
"Visit","Visit.hadANonRegularSexPartner","Visit.hadANonRegularSexPartner","","","",0,1,"","","","boolean {[]} {[]}
","HIV - RA: Had a non-regular sex partner during the past 12 months","HIV - RA: Had a non-regular sex partner during the past 12 months","","","","","","","","","",,,,,"",,,,"Visit.hadANonRegularSexPartner",0,1,"",""
"Visit","Visit.hadSexWithAKnownHivUnknownHiv","Visit.hadSexWithAKnownHivUnknownHiv","","","",0,1,"","","","boolean {[]} {[]}
","HIV - RA: Had sex with a known HIV positive and/or unknown HIV status person during the past 12 months","HIV - RA: Had sex with a known HIV positive and/or unknown HIV status person during the past 12 months","","","","","","","","","",,,,,"",,,,"Visit.hadSexWithAKnownHivUnknownHiv",0,1,"",""
"Visit","Visit.hadBeenDiagnosedOrReceivedTreatmentForASti","Visit.hadBeenDiagnosedOrReceivedTreatmentForASti","","","",0,1,"","","","boolean {[]} {[]}
","HIV - RA: Had the client and/or partner been diagnosed or received treatment for a STI during the past 12 months","HIV - RA: Had the client and/or partner been diagnosed or received treatment for a STI during the past 12 months","","","","","","","","","",,,,,"",,,,"Visit.hadBeenDiagnosedOrReceivedTreatmentForASti",0,1,"",""
