URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://example.org/ValueSet/HIVSexAtBirthVS,0.1.0,active,,HIVSexAtBirthVS,HIV - Sex at birth value set,"",,"Internal"
http://example.org/ValueSet/HIVTBDiagnosticTestCategoryVS,0.1.0,active,,HIVTBDiagnosticTestCategoryVS,HIV - TB diagnostic test category value set,"",,"Internal"
http://example.org/ValueSet/HIVTBTestResultVS,0.1.0,active,,HIVTBTestResultVS,HIV - TB test result value set,"",,"Internal"
http://example.org/ValueSet/HIVTPTPreventiveTreatmentVS,0.1.0,active,,HIVTPTPreventiveTreatmentVS,HIV - TPT preventive treatment value set,"",,"Internal"
http://example.org/ValueSet/HIVTPTRegimenVS,0.1.0,active,,HIVTPTRegimenVS,HIV - TPT Regimen value set,"",,"Internal"
http://example.org/ValueSet/HIVTestProvisionVS,0.1.0,active,,HIVTestProvisionVS,HIV - Test provision value set,"",,"Internal"
http://example.org/ValueSet/HIVTestResultVS,0.1.0,active,,HIVTestResultVS,HIV - Test result value set,"",,"Internal"
http://example.org/ValueSet/HIVTestTBStatusVS,0.1.0,active,,HIVTestTBStatusVS,HIV - Test: TB status value set,"",,"Internal"
http://example.org/ValueSet/HIVTreatmentTreatmentStatusVS,0.1.0,active,,HIVTreatmentTreatmentStatusVS,HIV - Treatment: Treatment Status value set,"",,"Internal"
http://example.org/ValueSet/HIVTypeOfCommunityLevelTestingVS,0.1.0,active,,HIVTypeOfCommunityLevelTestingVS,HIV - Type of community level testing value set,"",,"Internal"
http://example.org/ValueSet/HIVTypeOfCondomsVS,0.1.0,active,,HIVTypeOfCondomsVS,HIV - Type of condoms value set,"",,"Internal"
http://example.org/ValueSet/HIVVMMCSeverityOfAdverseEventsVS,0.1.0,active,,HIVVMMCSeverityOfAdverseEventsVS,HIV - VMMC: Severity of adverse events value set,"",,"Internal"
http://example.org/ValueSet/HIVVMMCTimingOfAdverseEventsVS,0.1.0,active,,HIVVMMCTimingOfAdverseEventsVS,HIV - VMMC: Timing of adverse events value set,"",,"Internal"
http://example.org/ValueSet/HIVVMMCTypeOfAdverseEventsVS,0.1.0,active,,HIVVMMCTypeOfAdverseEventsVS,HIV - VMMC: Type of adverse events value set,"",,"Internal"
http://example.org/ValueSet/HIVViralHepatitisTestResultVS,0.1.0,active,,HIVViralHepatitisTestResultVS,HIV - Viral hepatitis test result value set,"",,"Internal"
